short_id	id	V6_leaf	V6_root_tip	V6_root_mature	R1_stalk	R1_leaf
T19	lambda-EXOB_1_170_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	107	329	519	846	42.7
T21	beta-phaseolin_1712_1881_rev+lambda-EXOB_663_832_fwd+lambda-EXOB_1_170_rev	200	323	577	1290	70
T9	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd	148	277	534	791	37
T9	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd	160	380	693	642	53.6
T9	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd	190	243	346	772	45.3
T9	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd	112	399	552	914	48.1
T9	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd	145	253	386	926	36.9
T9	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd	145	297	574	754	38.2
D2	beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	181	293	426	649	45.1
D2	beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	180	316	501	478	36.1
D2	beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	138	289	436	430	30.1
D2	beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	106	385	467	680	57.3
D2	beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	152	327	550	479	47
D2	beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	135	377	536	570	28.9
T27+D2	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	88.8	327	607	713	34.9
T27+D2	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	66.3	296	472	623	21.6
T27+D2	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	58.4	286	563	938	40
T27+D2	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	105	341	572	776	35.4
T27+D2	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	NA	336	517	670	64.2
T27+D2	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	95.7	333	678	747	36.3
T30	beta-phaseolin_1633_1802_fwd+lambda-EXOB_663_832_fwd+beta-phaseolin_1395_1564_rev	156	301	867	1070	61
T30	beta-phaseolin_1633_1802_fwd+lambda-EXOB_663_832_fwd+beta-phaseolin_1395_1564_rev	189	378	969	1100	84.5
T30	beta-phaseolin_1633_1802_fwd+lambda-EXOB_663_832_fwd+beta-phaseolin_1395_1564_rev	142	405	544	1060	105
T30	beta-phaseolin_1633_1802_fwd+lambda-EXOB_663_832_fwd+beta-phaseolin_1395_1564_rev	133	424	808	1100	81.1
T30	beta-phaseolin_1633_1802_fwd+lambda-EXOB_663_832_fwd+beta-phaseolin_1395_1564_rev	145	466	885	929	53.1
T27	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev	160	361	688	1100	70.4
T27	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev	135	433	736	1310	77.6
T27	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev	125	354	753	1310	36.3
T27	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev	118	269	670	1440	41.7
T27	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev	100	419	557	1270	68.3
T27	lambda-EXOB_1_170_fwd+lambda-EXOB_415_584_rev+TBS_756_925_rev	113	366	619	1070	68.6
T32	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev	138	304	668	957	56.1
T32	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev	147	312	633	1020	41.9
T32	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev	169	283	695	1240	59.9
T32	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev	193	380	656	1170	53.6
T32	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev	163	249	634	1280	58.6
T32	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev	133	530	563	1010	43.5
T25	lambda-EXOB_1_170_fwd+beta-phaseolin_1633_1802_rev+beta-phaseolin_1148_1317_rev	106	627	1010	1390	42.6
T25	lambda-EXOB_1_170_fwd+beta-phaseolin_1633_1802_rev+beta-phaseolin_1148_1317_rev	122	645	808	1550	46.5
T25	lambda-EXOB_1_170_fwd+beta-phaseolin_1633_1802_rev+beta-phaseolin_1148_1317_rev	148	436	725	1040	38.3
T25	lambda-EXOB_1_170_fwd+beta-phaseolin_1633_1802_rev+beta-phaseolin_1148_1317_rev	136	586	653	1100	46.2
T25	lambda-EXOB_1_170_fwd+beta-phaseolin_1633_1802_rev+beta-phaseolin_1148_1317_rev	149	360	723	1320	52
T25	lambda-EXOB_1_170_fwd+beta-phaseolin_1633_1802_rev+beta-phaseolin_1148_1317_rev	156	387	688	1100	63.1
T17	lambda-EXOB_1_170_fwd+lambda-EXOB_166_335_fwd+beta-phaseolin_2266_2435_rev	141	385	789	1220	45.8
T17	lambda-EXOB_1_170_fwd+lambda-EXOB_166_335_fwd+beta-phaseolin_2266_2435_rev	151	394	757	1130	38.6
T17	lambda-EXOB_1_170_fwd+lambda-EXOB_166_335_fwd+beta-phaseolin_2266_2435_rev	186	333	722	1290	75
T32+D2	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	227	342	463	678	35.1
T32+D2	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	211	308	388	791	62.7
T32+D2	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	125	282	424	818	57.6
T32+D2	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	178	277	525	933	42.9
T32+D2	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	137	615	673	705	39.9
T32+D2	lambda-EXOB_415_584_rev+lambda-EXOB_663_832_rev+beta-phaseolin_1791_1960_rev+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	168	322	566	899	43.4
T19	lambda-EXOB_1_170_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	139	427	427	685	43.5
T19	lambda-EXOB_1_170_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	143	477	591	764	37.1
T19	lambda-EXOB_1_170_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	98.9	271	563	855	53.5
T19	lambda-EXOB_1_170_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	77.2	327	662	956	33.7
T19	lambda-EXOB_1_170_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	75.9	446	582	1080	57.9
T21	beta-phaseolin_1712_1881_rev+lambda-EXOB_663_832_fwd+lambda-EXOB_1_170_rev	234	412	697	1540	80.6
T21	beta-phaseolin_1712_1881_rev+lambda-EXOB_663_832_fwd+lambda-EXOB_1_170_rev	209	533	685	1480	80.9
T21	beta-phaseolin_1712_1881_rev+lambda-EXOB_663_832_fwd+lambda-EXOB_1_170_rev	278	517	704	1360	92.4
T21	beta-phaseolin_1712_1881_rev+lambda-EXOB_663_832_fwd+lambda-EXOB_1_170_rev	211	403	810	1780	62.7
T21	beta-phaseolin_1712_1881_rev+lambda-EXOB_663_832_fwd+lambda-EXOB_1_170_rev	221	454	654	1640	65
T9+D2	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	157	227	398	702	42.8
T9+D2	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	65.3	196	345	521	39.3
T9+D2	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	61.5	257	317	745	75.6
T9+D2	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	130	203	371	786	39
T9+D2	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	70.2	325	358	732	73.3
T9+D2	lambda-EXOB_415_584_rev+TBS_1765_1934_fwd+sIns2_335_504_fwd+beta-phaseolin_1148_1317_fwd+sIns2_335_504_fwd	34.7	127	198	461	76.9
T24	lambda-EXOB_415_584_rev+beta-phaseolin_3058_3227_rev+lambda-EXOB_1_170_rev	258	408	729	1000	61.9
T24	lambda-EXOB_415_584_rev+beta-phaseolin_3058_3227_rev+lambda-EXOB_1_170_rev	218	429	633	1190	49.4
T24	lambda-EXOB_415_584_rev+beta-phaseolin_3058_3227_rev+lambda-EXOB_1_170_rev	148	402	508	944	56.5
T24	lambda-EXOB_415_584_rev+beta-phaseolin_3058_3227_rev+lambda-EXOB_1_170_rev	132	374	570	990	47.6
T24	lambda-EXOB_415_584_rev+beta-phaseolin_3058_3227_rev+lambda-EXOB_1_170_rev	124	382	557	1330	78.4
T24	lambda-EXOB_415_584_rev+beta-phaseolin_3058_3227_rev+lambda-EXOB_1_170_rev	143	486	593	1200	40.7
noIns	noIns	223	706	902	1380	66.2
noIns	noIns	287	635	701	1460	69.8
noIns	noIns	233	751	800	1880	64.4
noIns	noIns	152	622	844	1270	126
noIns	noIns	147	527	884	1400	71.8
noIns	noIns	292	729	755	1520	78.1
noEnh	noEnh	23.3	175	307	102	12.5
noEnh	noEnh	30.4	187	205	260	21.3
noEnh	noEnh	23.4	341	185	137	13.1
noEnh	noEnh	22.5	190	182	168	11
noEnh	noEnh	20.8	187	193	141	15.8
